,EMOJI_ALIAS_UNICODE,emoji,VEC_TO_CAT,seq_clean_text
0,:1st_place_medal:,🥇,activity,"['1st', 'place', 'medal']"
1,:2nd_place_medal:,🥈,place,"['2nd', 'place', 'medal']"
2,:3rd_place_medal:,🥉,place,"['3rd', 'place', 'medal']"
3,:AB_button_(blood_type):,🆎,thing,"['AB', 'button', '(blood', 'type']"
4,:ATM_sign:,🏧,place,"['ATM', 'sign']"
5,:A_button_(blood_type):,🅰,thing,"['A', 'button', '(blood', 'type']"
6,:Afghanistan:,🇦🇫,place,['Afghanistan']
7,:Albania:,🇦🇱,activity,['Albania']
8,:Algeria:,🇩🇿,activity,['Algeria']
9,:American_Samoa:,🇦🇸,time,"['American', 'Samoa']"
10,:Andorra:,🇦🇩,place,['Andorra']
11,:Angola:,🇦🇴,activity,['Angola']
12,:Anguilla:,🇦🇮,person,['Anguilla']
13,:Antarctica:,🇦🇶,activity,['Antarctica']
14,:Antigua_&_Barbuda:,🇦🇬,activity,"['Antigua', '&', 'Barbuda']"
15,:Aquarius:,♒,mood,['Aquarius']
16,:Argentina:,🇦🇷,thing,['Argentina']
17,:Aries:,♈,activity,['Aries']
18,:Armenia:,🇦🇲,place,['Armenia']
19,:Aruba:,🇦🇼,time,['Aruba']
20,:Ascension_Island:,🇦🇨,activity,"['Ascension', 'Island']"
21,:Australia:,🇦🇺,thing,['Australia']
22,:Austria:,🇦🇹,place,['Austria']
23,:Azerbaijan:,🇦🇿,activity,['Azerbaijan']
24,:BACK_arrow:,🔙,thing,"['BACK', 'arrow']"
25,:B_button_(blood_type):,🅱,thing,"['B', 'button', '(blood', 'type']"
26,:Bahamas:,🇧🇸,thing,['Bahamas']
27,:Bahrain:,🇧🇭,place,['Bahrain']
28,:Bangladesh:,🇧🇩,person,['Bangladesh']
29,:Barbados:,🇧🇧,time,['Barbados']
30,:Belarus:,🇧🇾,place,['Belarus']
31,:Belgium:,🇧🇪,place,['Belgium']
32,:Belize:,🇧🇿,thing,['Belize']
33,:Benin:,🇧🇯,place,['Benin']
34,:Bermuda:,🇧🇲,thing,['Bermuda']
35,:Bhutan:,🇧🇹,place,['Bhutan']
36,:Bolivia:,🇧🇴,place,['Bolivia']
37,:Bosnia_&_Herzegovina:,🇧🇦,place,"['Bosnia', '&', 'Herzegovina']"
38,:Botswana:,🇧🇼,thing,['Botswana']
39,:Bouvet_Island:,🇧🇻,place,"['Bouvet', 'Island']"
40,:Brazil:,🇧🇷,time,['Brazil']
41,:British_Indian_Ocean_Territory:,🇮🇴,time,"['British', 'Indian', 'Ocean', 'Territory']"
42,:British_Virgin_Islands:,🇻🇬,time,"['British', 'Virgin', 'Islands']"
43,:Brunei:,🇧🇳,thing,['Brunei']
44,:Bulgaria:,🇧🇬,time,['Bulgaria']
45,:Burkina_Faso:,🇧🇫,thing,"['Burkina', 'Faso']"
46,:Burundi:,🇧🇮,place,['Burundi']
47,:CL_button:,🆑,thing,"['CL', 'button']"
48,:COOL_button:,🆒,thing,"['COOL', 'button']"
